image,label
7/7/7057.png,7
0/0/6981.png,0
1/1/571.png,1
6/6/5537.png,6
7/7/3741.png,7
7/7/6995.png,7
9/9/8991.png,9
6/6/7047.png,6
6/6/4558.png,6
7/7/5136.png,7
3/3/7876.png,3
9/9/7859.png,9
9/9/981.png,9
8/8/1391.png,8
4/4/6600.png,4
8/8/1393.png,8
2/2/10518.png,2
9/9/2659.png,9
1/1/6406.png,1
8/8/6561.png,8
7/7/1594.png,7
5/5/165.png,5
3/3/6213.png,3
6/6/4371.png,6
8/8/7085.png,8
3/3/5486.png,3
5/5/10485.png,5
5/5/160.png,5
6/6/3195.png,6
4/4/2854.png,4
9/9/7125.png,9
5/5/5860.png,5
5/5/9647.png,5
0/0/7053.png,0
2/2/8198.png,2
0/0/763.png,0
3/3/1804.png,3
9/9/10296.png,9
3/3/3354.png,3
5/5/5320.png,5
4/4/9279.png,4
0/0/3545.png,0
2/2/8954.png,2
7/7/6013.png,7
2/2/76.png,2
5/5/9245.png,5
9/9/5684.png,9
8/8/7324.png,8
8/8/2707.png,8
3/3/1999.png,3
8/8/8566.png,8
5/5/7858.png,5
4/4/9294.png,4
5/5/8969.png,5
5/5/5286.png,5
2/2/942.png,2
1/1/5916.png,1
3/3/10068.png,3
7/7/9240.png,7
9/9/9330.png,9
9/9/5727.png,9
4/4/2927.png,4
1/1/10268.png,1
9/9/9269.png,9
3/3/10268.png,3
3/3/4163.png,3
5/5/10680.png,5
6/6/4412.png,6
1/1/7125.png,1
7/7/8606.png,7
0/0/10483.png,0
6/6/6589.png,6
5/5/9683.png,5
1/1/1378.png,1
9/9/8572.png,9
9/9/9492.png,9
5/5/10733.png,5
3/3/830.png,3
1/1/7481.png,1
0/0/981.png,0
5/5/6598.png,5
9/9/1180.png,9
5/5/4210.png,5
7/7/6164.png,7
6/6/5524.png,6
1/1/4767.png,1
3/3/3592.png,3
0/0/1810.png,0
6/6/6215.png,6
5/5/7137.png,5
8/8/6833.png,8
0/0/5318.png,0
1/1/5734.png,1
2/2/4438.png,2
0/0/9888.png,0
2/2/5096.png,2
0/0/3396.png,0
1/1/9323.png,1
9/9/7442.png,9
0/0/3976.png,0
1/1/604.png,1
1/1/76.png,1
1/1/5735.png,1
4/4/5721.png,4
1/1/7287.png,1
8/8/7876.png,8
3/3/2275.png,3
1/1/3634.png,1
3/3/5912.png,3
3/3/2248.png,3
8/8/7247.png,8
4/4/955.png,4
8/8/5085.png,8
4/4/3787.png,4
3/3/1369.png,3
9/9/1590.png,9
3/3/2270.png,3
0/0/10685.png,0
0/0/5280.png,0
7/7/7084.png,7
2/2/8808.png,2
5/5/1230.png,5
4/4/2502.png,4
2/2/4577.png,2
6/6/9056.png,6
5/5/1032.png,5
1/1/1191.png,1
4/4/3557.png,4
5/5/2106.png,5
8/8/10508.png,8
3/3/3036.png,3
8/8/3632.png,8
7/7/955.png,7
9/9/7278.png,9
7/7/6017.png,7
3/3/1435.png,3
8/8/9294.png,8
3/3/10294.png,3
9/9/9278.png,9
7/7/7279.png,7
0/0/4809.png,0
1/1/1433.png,1
8/8/3356.png,8
5/5/7287.png,5
4/4/8412.png,4
6/6/9898.png,6
0/0/3225.png,0
3/3/5323.png,3
1/1/10521.png,1
7/7/10684.png,7
6/6/2728.png,6
1/1/2675.png,1
5/5/9651.png,5
0/0/9730.png,0
6/6/7730.png,6
9/9/4558.png,9
2/2/2477.png,2
9/9/9889.png,9
7/7/162.png,7
6/6/10484.png,6
2/2/162.png,2
2/2/6413.png,2
9/9/2459.png,9
9/9/9241.png,9
3/3/9490.png,3
2/2/5254.png,2
0/0/61.png,0
0/0/6599.png,0
5/5/8148.png,5
8/8/1977.png,8
6/6/1144.png,6
3/3/9090.png,3
7/7/3619.png,7
6/6/6017.png,6
6/6/9442.png,6
6/6/950.png,6
8/8/1384.png,8
5/5/7332.png,5
9/9/6238.png,9
0/0/3009.png,0
0/0/819.png,0
1/1/1187.png,1
2/2/10519.png,2
2/2/8376.png,2
6/6/9309.png,6
8/8/158.png,8
5/5/7255.png,5
0/0/2674.png,0
9/9/1546.png,9
1/1/5243.png,1
2/2/4362.png,2
1/1/5537.png,1
9/9/5241.png,9
1/1/8639.png,1
3/3/6765.png,3
9/9/6013.png,9
1/1/9872.png,1
7/7/4821.png,7
5/5/956.png,5
5/5/1344.png,5
8/8/950.png,8
5/5/955.png,5
9/9/4606.png,9
9/9/8766.png,9
4/4/8612.png,4
5/5/8006.png,5
4/4/3750.png,4
6/6/1354.png,6
4/4/8375.png,4
1/1/9720.png,1
2/2/4760.png,2
